author,date,id,iso,original_review,original_title,predicted_langs/0,predicted_langs/1,predicted_langs/2,predicted_langs/3,predicted_langs/4,product,review,stars,title,version,weight
Dallas Johnson,2015-10-19T21:47:42,14831371782LFvpd95P_TckgDwThEkOnww,ZZ,"Textra has been my messaging app of choice since Hangouts infiltrated my phone. It is both functional and beautiful, and allows several different emoji styles as well as MMS configuration that is far superior to anything you'll find on other messaging apps. Definitely worth giving it a try.",Awesome App,en,,,,,14831371782,"Textra has been my messaging app of choice since Hangouts infiltrated my phone. It is both functional and beautiful, and allows several different emoji styles as well as MMS configuration that is far superior to anything you'll find on other messaging apps. Definitely worth giving it a try.",5.00,Awesome App,3.7,0
Jannary Quitiol,2015-10-19T21:47:11,14831371782LK0dm-E_aW_6pJHKexm-WFA,ZZ,"the app is awesome but for one thing, i cant send a multirecipient sms. Please follow this up for your next update and i will reinstall it. Thanks",GROUP TEXT MESSAGE,en,,,,,14831371782,"the app is awesome but for one thing, i cant send a multirecipient sms. Please follow this up for your next update and i will reinstall it. Thanks",3.00,GROUP TEXT MESSAGE,3.7,0
Tim Young,2015-10-19T21:45:46,14831371782L9u70rpJIqMvFW4Z9CSl8Rg,ZZ,"I have been using it for over 2 years. 1st on a rooted S3, now on a rooted S4. A buck is nothing for a quality texting app. Beats the stock Sammy app hands down. You have my buck. Update. Just keeps getting better. Well worth the purchase. Still 5 stars.",Great texting app!,en,,,,,14831371782,"I have been using it for over 2 years. 1st on a rooted S3, now on a rooted S4. A buck is nothing for a quality texting app. Beats the stock Sammy app hands down. You have my buck. Update. Just keeps getting better. Well worth the purchase. Still 5 stars.",5.00,Great texting app!,3.7,0
Christopher Greenwood,2015-10-19T21:41:30,14831371782LnCL6KlZbpCoiYO5GFPWncQ,ZZ,Hopefully this stop the requests to rate...and also like once a month i get spam messages about not being able to send mms over tmobile.. then it stops for a while.,Good but...,en,,,,,14831371782,Hopefully this stop the requests to rate...and also like once a month i get spam messages about not being able to send mms over tmobile.. then it stops for a while.,4.00,Good but...,3.7,0
Aaron Vogt,2015-10-19T21:33:57,14831371782LMthYn3aQT39j9FraFEYLJQ,ZZ,Everything you could ever want in a texting app - and more!,Fantastic,en,,,,,14831371782,Everything you could ever want in a texting app - and more!,5.00,Fantastic,3.7,0
Megan Feeney,2015-10-19T21:00:47,14831371782LXCvlN9w7ciqTVvZiNiM6rw,ZZ,"Textra truly is simple, beautiful & fast. I love the customization options but even more so it's accessibility and speed.",True to Description,en,la,,,,14831371782,"Textra truly is simple, beautiful & fast. I love the customization options but even more so it's accessibility and speed.",5.00,True to Description,3.7,0
Emilee Metcalfe,2015-10-19T20:58:51,14831371782LzXpprEFHT1_AUw2VrGpRvw,ZZ,"Half the time I send something like a SMS, mms or audio message it fails and It bugs me. Please fix this problem.",Um...?,en,da,,,,14831371782,"Half the time I send something like a SMS, mms or audio message it fails and It bugs me. Please fix this problem.",4.00,Um...?,3.7,0
Susie Simmons,2015-10-19T20:57:59,14831371782LKHjneHzbeMLUKJnvUyso7A,ZZ,Greatest texting app there is,,en,,,,,14831371782,Greatest texting app there is,5.00,,,0
Reuben Lawson,2015-10-19T20:33:13,14831371782LJ0mszYx2NYwt2xNGaanMUQ,ZZ,"Love it, awesome features. Might even go premium yet!",Samsung S4 mini,en,,,,,14831371782,"Love it, awesome features. Might even go premium yet!",5.00,Samsung S4 mini,3.7,0
Mathew Doyle,2015-10-19T20:24:04,14831371782LfxGOAg7TybKn7CsgTfYSgA,ZZ,"Look no further, this is by far the best text app out there!",Better than all!!!,en,,,,,14831371782,"Look no further, this is by far the best text app out there!",5.00,Better than all!!!,3.7,0
LaBarbara Brown,2015-10-19T20:21:34,14831371782L3W5s8YOxKeYufakDl-GO8g,ZZ,I really love this app. You can personalize you message app so it doesn't look so boring.,AWESOME,en,,,,,14831371782,I really love this app. You can personalize you message app so it doesn't look so boring.,5.00,AWESOME,3.7,0
Christopher Behrens,2015-10-19T20:06:13,14831371782Lumq5NHxBVR2ODJCz5Jix7g,ZZ,I installed this and Chomp to try alternative apps. This app suddenly highjacked an sms massage today even though the app was not loaded and was not set as default when it did it. The default vzm messenger and chomp didn’t get the message and I started getting notification that Chomp was interfering with Textra when Textra shouldn't have even been running or getting messages! Uninstalling because I don't appreciate my phone sms system being highjacked and can't gain control of my sms with Textra installed.,Based on interference with default sms app,en,,,,,14831371782,I installed this and Chomp to try alternative apps. This app suddenly highjacked an sms massage today even though the app was not loaded and was not set as default when it did it. The default vzm messenger and chomp didn’t get the message and I started getting notification that Chomp was interfering with Textra when Textra shouldn't have even been running or getting messages! Uninstalling because I don't appreciate my phone sms system being highjacked and can't gain control of my sms with Textra installed.,3.00,Based on interference with default sms app,,0
David Inkeles,2015-10-19T19:57:58,14831371782Ls8rI040bWODBvUu2br5u6Q,ZZ,"Good app.  The ads at the top are a PITA, but the app works well",,en,,,,,14831371782,"Good app.  The ads at the top are a PITA, but the app works well",4.00,,3.7,0
Ashling Fenton,2015-10-19T18:58:03,14831371782LnAdneS4t5Z1OroY9Omsm7g,ZZ,Stop asking me if I want to make it default,,en,af,nl,nn,no,14831371782,Stop asking me if I want to make it default,3.00,,3.7,0
aaron ward,2015-10-19T18:49:02,14831371782LipSip9gdNr0mZO_kj3wOlg,ZZ,Simple.easy. what more can I say,Best of the best,en,,,,,14831371782,Simple.easy. what more can I say,5.00,Best of the best,3.7,0
Evan Meacham,2015-10-19T18:24:50,14831371782LLbpjCDPap0ERXSH8U45S_w,ZZ,Textra is the best texting app I've ever come across. I especially love the floating notifications and the ability to reply without leaving whatever app I'm currently using. Fully customizable. It can't get better than this :),Love it,en,,,,,14831371782,Textra is the best texting app I've ever come across. I especially love the floating notifications and the ability to reply without leaving whatever app I'm currently using. Fully customizable. It can't get better than this :),5.00,Love it,3.7,0
Tommy D.,2015-10-19T17:41:43,14831371782LGn7Eu2w3IxkGWnMXaqUC1w,ZZ,"Awesome text app. Only thing it needs is message archiving, but that's not a deal breaker.",Textra,en,,,,,14831371782,"Awesome text app. Only thing it needs is message archiving, but that's not a deal breaker.",5.00,Textra,3.7,0
Usama Iqbal,2015-10-19T17:33:39,14831371782LWxBV2M_AL8uQzJtaanSKRA,ZZ,What the hell is this ads do not go after donating!,Ads not going away after donation,en,,,,,14831371782,What the hell is this ads do not go after donating!,4.00,Ads not going away after donation,3.7,0
Daniel Khouri,2015-10-19T17:27:33,14831371782LyMlcgRhUOR9RIkDCVRj04g,ZZ,Marshmallow update broke the ability to pay for parking via sms using Hangouts as the sms app. Textra works and definitely saved me a few parking fines.,Great app,en,,,,,14831371782,Marshmallow update broke the ability to pay for parking via sms using Hangouts as the sms app. Textra works and definitely saved me a few parking fines.,5.00,Great app,3.7,0
Josh Campbell,2015-10-19T17:10:26,14831371782LpcQfaoUUwoFMzK8dGHl0aA,ZZ,Works better than my stock app. Much cleaner and faster.,Best texting app in my opinion,en,sv,da,no,,14831371782,Works better than my stock app. Much cleaner and faster.,5.00,Best texting app in my opinion,3.7,0
Damion T,2015-10-19T17:00:16,14831371782LULhlJ8HcZih4YaAnc6FDgw,ZZ,"When it works, it works well. Recently the app refuses to send any images, instead giving a ""image too large"" error message. I've previously sent tons of images with no problem. Not anymore. MMS settings have been adjusted without success. Deleting and reinstalling= no fix. Same goes for updates. I'm headed back to the standard text messenger. This one isn't ready for full normal use.",Not functional,en,,,,,14831371782,"When it works, it works well. Recently the app refuses to send any images, instead giving a ""image too large"" error message. I've previously sent tons of images with no problem. Not anymore. MMS settings have been adjusted without success. Deleting and reinstalling= no fix. Same goes for updates. I'm headed back to the standard text messenger. This one isn't ready for full normal use.",3.00,Not functional,3.7,0
Aaron Clingerman,2015-10-19T16:58:49,14831371782Leq3EOxewKc2fI305ykqygg,ZZ,"The app looks good, but the daily tip messages are very annoying. I have to view every message to clear the unread count. There is no apparent way to disable the tip messages.",Annoying tip messages,en,,,,,14831371782,"The app looks good, but the daily tip messages are very annoying. I have to view every message to clear the unread count. There is no apparent way to disable the tip messages.",1.00,Annoying tip messages,3.7,0
Raul Estevez,2015-10-19T16:26:52,14831371782LYO9CJS3x0jFG4x7W7B9sjw,ZZ,Good app 100% better than stock,,en,sv,da,no,nn,14831371782,Good app 100% better than stock,5.00,,3.7,0
Kevin Grajeda,2015-10-19T16:23:24,14831371782Lb8UBAcOD4BOzWq6dfMc_mQ,ZZ,All pics send perfectly now thanks,Thanks for fixing,en,,,,,14831371782,All pics send perfectly now thanks,5.00,Thanks for fixing,3.7,0
Craig Christy,2015-10-19T16:22:22,14831371782LGRGtkmD_NDjX_NSP6UF3EA,ZZ,Intrusive ads.  No I wont install Lyft. Stop being greedy.  Make it $0.99 I will buy it.,Good program awful ads,en,af,nl,nn,no,14831371782,Intrusive ads.  No I wont install Lyft. Stop being greedy.  Make it $0.99 I will buy it.,2.00,Good program awful ads,3.7,0
David Uechi,2015-10-19T16:08:52,14831371782LFVDEamF9FfElWMWwlXV8hQ,ZZ,"Very convenient and fast. I REALLY like the quick reply pop up among the other features. However, it needs an unsent message indicator that can be clearly seen for a contact on the list of conversations. There have been too many times now when I thought I hit send but didn't, and had no indication of it until I went back to the conversation. I'm planning to go back to the stock messaging app if that isn't added soon. I've gotten into trouble one too many time now for appearing to ignore people.","Awesome, just needs one thing",en,,,,,14831371782,"Very convenient and fast. I REALLY like the quick reply pop up among the other features. However, it needs an unsent message indicator that can be clearly seen for a contact on the list of conversations. There have been too many times now when I thought I hit send but didn't, and had no indication of it until I went back to the conversation. I'm planning to go back to the stock messaging app if that isn't added soon. I've gotten into trouble one too many time now for appearing to ignore people.",4.00,"Awesome, just needs one thing",3.7,0
C Turner,2015-10-19T15:58:28,14831371782L5bo6fEQWIgFac0jEw5h8TQ,ZZ,"Tried a few SMS apps and get on with this the best. Especially like the floating notifications/replies without having to unlock all the time.  Would be nice to be able to set the notification interval though, as every 2 mins drives me nuts when I'm driving and can't check the message, and being able to snooze the notification would be a good enhancement to the 'later' option.",Very nice,en,,,,,14831371782,"Tried a few SMS apps and get on with this the best. Especially like the floating notifications/replies without having to unlock all the time.  Would be nice to be able to set the notification interval though, as every 2 mins drives me nuts when I'm driving and can't check the message, and being able to snooze the notification would be a good enhancement to the 'later' option.",4.00,Very nice,,0
Warren Malquez,2015-10-19T15:56:05,14831371782LiGGAh04yGdY8Ig-bYtmLHA,ZZ,"Improvement please . This app is the best, its more okay if you guys add some improvements.????",,en,,,,,14831371782,"Improvement please . This app is the best, its more okay if you guys add some improvements.????",4.00,,3.7,0
Mike Led,2015-10-19T15:49:27,14831371782LdFpIXaxD10vXBFBamUMRfg,ZZ,I don't want texts from the developer. I thought they would go away when I paid them. They didn't!!,Stop texting me!!!,en,,,,,14831371782,I don't want texts from the developer. I thought they would go away when I paid them. They didn't!!,1.00,Stop texting me!!!,3.7,0
Kavante Mcpeters,2015-10-19T15:48:04,14831371782LmNIM3hzjqDun4q2eDM3Nbg,ZZ,Adds suck tho,Like it,en,,,,,14831371782,Adds suck tho,4.00,Like it,3.7,0
Hannah Martin,2015-10-19T15:46:21,14831371782Lrld_ovAgvWLxy9Px_mAKzw,ZZ,I really love this app. I have tried all the other texting apps and this one is the best by far!,I really enjoy this app,en,,,,,14831371782,I really love this app. I have tried all the other texting apps and this one is the best by far!,5.00,I really enjoy this app,3.7,0
Jason Scofi,2015-10-19T15:44:20,14831371782LZlPj9lWcTeGZpuZPXQq2yg,ZZ,"do you plan to add a feature to view a sms conversation on android wear? when i get a text from someone, itd be nice to swip right to view the whole conversation(hangouts does this)",,en,,,,,14831371782,"do you plan to add a feature to view a sms conversation on android wear? when i get a text from someone, itd be nice to swip right to view the whole conversation(hangouts does this)",4.00,,3.7,0
matthew brien,2015-10-19T15:25:38,14831371782LGUhA8KY_ncy-KGVqF7bshw,ZZ,Never considered paying for a texting program before using Textra. I love the customization. It makes. Standard messaging app look soviet.,Great Ui,en,la,,,,14831371782,Never considered paying for a texting program before using Textra. I love the customization. It makes. Standard messaging app look soviet.,5.00,Great Ui,3.7,0
Mudit Jhawar,2015-10-19T15:20:52,14831371782LYjGmXVQY96mqH8t61D25mQ,ZZ,Poor,,tl,af,ht,ceb,lb,14831371782,Poor,2.00,,,0
Ben Bouissieres,2015-10-19T15:16:50,14831371782LpbzN1IrFVaMrYKs98Ssw-w,ZZ,"Textra fixes all the issues that stock text apps have: slow down and undelivered texts. The only issue is that the audio file player is terrible. If you move your phone, send a text, deliver a text, receive a text, or scroll down too far, the audio stops. And you CAN'T RESUME or play the audio from the middle, it always starts from the beginning, and if you get interrupted at all, youll have to play it from the beginning again. Also it's difficult to send audio files that you've recorded outside of textra.",Great except for Audio player,en,,,,,14831371782,"Textra fixes all the issues that stock text apps have: slow down and undelivered texts. The only issue is that the audio file player is terrible. If you move your phone, send a text, deliver a text, receive a text, or scroll down too far, the audio stops. And you CAN'T RESUME or play the audio from the middle, it always starts from the beginning, and if you get interrupted at all, youll have to play it from the beginning again. Also it's difficult to send audio files that you've recorded outside of textra.",4.00,Great except for Audio player,3.7,0
Chandler Culpeper,2015-10-19T15:14:06,14831371782L8ryq2V8vE7uYBN4RyYKZpg,ZZ,Truly the best ever. But. Can you possibly incorporate the option to choose between round and square bubbles,Beat app...but...,en,,,,,14831371782,Truly the best ever. But. Can you possibly incorporate the option to choose between round and square bubbles,5.00,Beat app...but...,3.7,0
Jake Evans,2015-10-19T14:49:42,14831371782LtR3YL3yyN0sfa-nL3MqsPw,ZZ,Gay,Gay,war,ceb,tl,,,14831371782,Gay,5.00,Gay,3.7,0
Tre Barzinjee,2015-10-19T14:43:16,14831371782LtBEH_FNFo5lPONGP3RzyDw,ZZ,I've tried other texting apps and the default one on phone but after using textra the free version I really liked it so I decided to upgrade!  I never buy amy apps but this one was a no brainer great job textra team!  The only reason I gave it a 4 star rating is cuz I just did the upgrade so I'm waiting to try it out longer before I give it a 5!,Love it!,en,,,,,14831371782,I've tried other texting apps and the default one on phone but after using textra the free version I really liked it so I decided to upgrade!  I never buy amy apps but this one was a no brainer great job textra team!  The only reason I gave it a 4 star rating is cuz I just did the upgrade so I'm waiting to try it out longer before I give it a 5!,4.00,Love it!,3.7,0
Zachary White,2015-10-19T14:39:07,14831371782L3tNOBKTScoCZmtcNsNx9Mw,ZZ,If you could make it so we could see if someone was typing that would be the best or so we can delete messages faster than one at a time but not the entire conversation,Awesome but,en,,,,,14831371782,If you could make it so we could see if someone was typing that would be the best or so we can delete messages faster than one at a time but not the entire conversation,5.00,Awesome but,,0
Donna Poli,2015-10-19T14:01:32,14831371782L8hFZHjQMBhhIWLAFbFZIQA,ZZ,"This is an easy to use and very simple application that has met my needs and never missed a Txt yet, and the ads don't bother me at all!",,en,,,,,14831371782,"This is an easy to use and very simple application that has met my needs and never missed a Txt yet, and the ads don't bother me at all!",4.00,,3.7,0
Richard Campbell,2015-10-19T13:38:15,14831371782LDq8Ry5GPVejhN_VbSRWMHg,ZZ,Love it. Much better than Andriod app,,en,da,nn,no,sv,14831371782,Love it. Much better than Andriod app,5.00,,3.7,0
John Coulter,2015-10-19T13:06:06,14831371782Lk65ALKBzK36vYQex4MmiLQ,ZZ,Very good app!,,af,en,lb,ceb,tl,14831371782,Very good app!,5.00,,3.7,0
Jan Mullins,2015-10-19T12:53:02,14831371782Lcmb7_JUi5mJnRtbqVavpvw,ZZ,Great easy to use features!!  Love it!,,en,,,,,14831371782,Great easy to use features!!  Love it!,5.00,,3.7,0
Rebecca Williams,2015-10-19T12:50:39,14831371782LMxZH4UlDc-tk7up_kFzuhQ,ZZ,Now the mms is not working on my droid and if this was fixed it would be a 5,I used to love this app,en,,,,,14831371782,Now the mms is not working on my droid and if this was fixed it would be a 5,2.00,I used to love this app,3.7,0
Allen Chen,2015-10-19T12:48:13,14831371782LIk7rFxuENl9oFC3BpJs0Xg,ZZ,Minimalist. Does its job correctly.,Great app,en,ca,,,,14831371782,Minimalist. Does its job correctly.,5.00,Great app,3.7,0
Peter Janoe,2015-10-19T12:46:56,14831371782LRWbPU_3CXY_1OY7Vx73Epw,ZZ,The best keeps getting better,,en,da,nl,no,af,14831371782,The best keeps getting better,5.00,,3.7,0
yntleyakazei celestial,2015-10-19T12:46:05,14831371782LqS6IAVjnORthL9mHmegNVQ,ZZ,".. Its a nice app though i cant see if my message is sent, 8 wish to the next update I can see if my message is sent.",Nice app,en,,,,,14831371782,".. Its a nice app though i cant see if my message is sent, 8 wish to the next update I can see if my message is sent.",4.00,Nice app,3.7,0
Stephen Sherman,2015-10-19T12:43:50,14831371782LsUS1qgF1G2ghZLPy3MdUcA,ZZ,I was sick of the messages app and the other alternatives freezing and not letting me delete large threads. This app has worked amazingly and has nice features too.,Best texting app out there,en,,,,,14831371782,I was sick of the messages app and the other alternatives freezing and not letting me delete large threads. This app has worked amazingly and has nice features too.,4.00,Best texting app out there,3.7,0
niraja mu,2015-10-19T12:43:03,14831371782LrsblI87TfNOYSyYYjcfKHQ,ZZ,Love this highly customisable app.,,en,,,,,14831371782,Love this highly customisable app.,5.00,,3.7,0
Irish Tumulak,2015-10-19T12:32:19,14831371782LF_U8d_9XHmFQy3RIZ6mdOQ,ZZ,"Tried different messaging app, so far this is the best.. Would give 5 if it would recognize shorcuts in personal dictionary, btw im using xperia z1 compact",GOOD,en,,,,,14831371782,"Tried different messaging app, so far this is the best.. Would give 5 if it would recognize shorcuts in personal dictionary, btw im using xperia z1 compact",4.00,GOOD,3.7,0
Irwin Noel,2015-10-19T12:20:02,14831371782LKFyRw8-iOESDg5yDVP0InQ,ZZ,"An excellent app,  highly recommended,  i have tried many other similar apps and haven't seen a better one as yet, however I started seeing ads which i don't appreciate, they should be removed.",,en,,,,,14831371782,"An excellent app,  highly recommended,  i have tried many other similar apps and haven't seen a better one as yet, however I started seeing ads which i don't appreciate, they should be removed.",5.00,,3.7,0
Dale Aireen Flores,2015-10-19T12:11:13,14831371782L3ovU6Xlf6wrmNwnDWcPk9A,ZZ,"This app is great, though occasionally it becomes a little slow, it has been my messaging app for a while now. I hope you'll add a security lock in the next update. Downloading an app locker just takes up too much space.",Security lock?,en,,,,,14831371782,"This app is great, though occasionally it becomes a little slow, it has been my messaging app for a while now. I hope you'll add a security lock in the next update. Downloading an app locker just takes up too much space.",4.00,Security lock?,,0
Elba Roark,2015-10-19T11:41:15,14831371782Lz_mpjZt23V2o99SwxQqMzw,ZZ,I paid for pro/premium months ago and was good til recent update. Now I have ads again and no pro features. Please fix!!!!!!,Taking it down to 2 stars.....,en,,,,,14831371782,I paid for pro/premium months ago and was good til recent update. Now I have ads again and no pro features. Please fix!!!!!!,2.00,Taking it down to 2 stars.....,3.7,0
Bianca Aguilar,2015-10-19T11:34:42,14831371782L7FBI-qQY2SCbvvWBVbWyqw,ZZ,"It's really great and fast but it won't hurt if you guys add a new touch to the design of the app and the logo. Make it more minimal, just saying. Btw, love you guys!! xx",NEW DESIGN PLEASE.,en,,,,,14831371782,"It's really great and fast but it won't hurt if you guys add a new touch to the design of the app and the logo. Make it more minimal, just saying. Btw, love you guys!! xx",5.00,NEW DESIGN PLEASE.,3.7,0
Ganesh Babu,2015-10-19T11:00:30,14831371782Le3Zki8cj9EHDzuJoQPmy8A,ZZ,Its vibrates during the call. It hurts my ear. Pl don't do vibrate during the call time. Fix it asap.,Great app but one problem,en,,,,,14831371782,Its vibrates during the call. It hurts my ear. Pl don't do vibrate during the call time. Fix it asap.,3.00,Great app but one problem,3.7,0
Jamie I.,2015-10-19T10:18:45,14831371782LP48Hxx5e74jGn5yNxYGwwQ,ZZ,"Loving the app right now and I want to upgrade to go pro. Is getting rid of ads the only PRO feature? Also, getting texts from the developer/app itself is kind of annoying. Please remove it, otherwise an amazing app with no flaws. Bring back iOS emojis and add the new ones if you can.",What are the pro features? And stop texts from the developers!,en,,,,,14831371782,"Loving the app right now and I want to upgrade to go pro. Is getting rid of ads the only PRO feature? Also, getting texts from the developer/app itself is kind of annoying. Please remove it, otherwise an amazing app with no flaws. Bring back iOS emojis and add the new ones if you can.",5.00,What are the pro features? And stop texts from the developers!,3.7,0
Shakib Molavi,2015-10-19T10:16:30,14831371782L2oZX0y00VTwaxwdPxYODPg,ZZ,"Sents a duplicate on each message! One is delivered, other one has no signs of sending!",Why no fix for this?,en,,,,,14831371782,"Sents a duplicate on each message! One is delivered, other one has no signs of sending!",4.00,Why no fix for this?,3.7,0
ImCalled Trisha,2015-10-19T07:48:30,14831371782L_jSq_-1i2WKk8OYNS0a30A,ZZ,Awesome,,en,af,nl,,,14831371782,Awesome,5.00,,,0
Kiran Raj,2015-10-19T07:42:26,14831371782Ls48AxlJyRSDIjK6FblM66g,ZZ,Smooth and Lite!,The Best!,en,de,la,lb,mr,14831371782,Smooth and Lite!,5.00,The Best!,3.7,0
Marda Arif Furqani,2015-10-19T07:09:52,14831371782LtM5b8ComnOySfetr2UvWhg,ZZ,Awesome. Just that. Awesome.,,en,,,,,14831371782,Awesome. Just that. Awesome.,5.00,,3.7,0
Ren V,2015-10-19T06:53:52,14831371782LJhv3BY0jItH0D7dlNazf9w,ZZ,"I've tried other SMS apps (some I regret paying for, sometimes yearly), and I always default to this one. Simple and small, it doesn't bog your phone with useless things. I don't need my texts to look pretty with some elaborate, resource consuming themes. Only issue I have is when I change the icon color, icon disappears when I restart my phone.  Developers responded to my emails. Still waiting for months now for the promised fix.",Works! And works fine.,en,,,,,14831371782,"I've tried other SMS apps (some I regret paying for, sometimes yearly), and I always default to this one. Simple and small, it doesn't bog your phone with useless things. I don't need my texts to look pretty with some elaborate, resource consuming themes. Only issue I have is when I change the icon color, icon disappears when I restart my phone.  Developers responded to my emails. Still waiting for months now for the promised fix.",4.00,Works! And works fine.,3.7,0
Morgan Lakey,2015-10-19T05:37:40,14831371782L2ZN9VlpCrrFTx6f06nnxxQ,ZZ,"Love the app, but it's really disappointing that the dev feels its necessary to pander through texts for reviews. I'm a paying customer, and one that had previously given a five star rating. Stop bothering me, it's immature.",Quit with the spam,en,,,,,14831371782,"Love the app, but it's really disappointing that the dev feels its necessary to pander through texts for reviews. I'm a paying customer, and one that had previously given a five star rating. Stop bothering me, it's immature.",3.00,Quit with the spam,3.7,0
Daniel Aponte,2015-10-19T05:28:21,14831371782L0d3WTw9FNyIvQ8DxQzr-Iw,ZZ,Only downside to this app is that it can not be moved to SIM card and it's taking to much internal space,Move 2 SIM,en,,,,,14831371782,Only downside to this app is that it can not be moved to SIM card and it's taking to much internal space,4.00,Move 2 SIM,3.7,0
Chris Chan,2015-10-19T05:26:40,14831371782LXEAKyKHAfPKgJShedgDLsg,ZZ,Good fast txting apps,Worth to spend a dollar,en,,,,,14831371782,Good fast txting apps,5.00,Worth to spend a dollar,3.7,0
Steve Fantazia,2015-10-19T05:16:28,14831371782L24uKQloU8mZNtJXsJ5-DVA,ZZ,"Core text functionality is great. Ancillary features such as Video,  scheduling, etc are low friction and dependable.  Question:is there any way to see (or ideally display) the sent times of each text prior to the most recent?","Solid,  stable, will executed extra features.",en,,,,,14831371782,"Core text functionality is great. Ancillary features such as Video,  scheduling, etc are low friction and dependable.  Question:is there any way to see (or ideally display) the sent times of each text prior to the most recent?",5.00,"Solid,  stable, will executed extra features.",3.7,0
XHitomichanX,2015-10-19T05:00:47,14831371782LJ-pAIrJGQn93uKhDCj-I-Q,ZZ,It's gorgeous. Get it. That is all.,,en,lb,,,,14831371782,It's gorgeous. Get it. That is all.,5.00,,3.7,0
DeAundre Hutchison,2015-10-19T04:45:34,14831371782LcMj-fb-OFNZ_lgGykOddpg,ZZ,"Its cool. It works. Its simplistic. Its neat. Nice replacement for stock SMS. Would be nice to see separate threads after group message send. Also, ditch the ads. They're annoying and never actually pertain to anything I like or have searched for.",Samsung Galaxy Note 5,en,,,,,14831371782,"Its cool. It works. Its simplistic. Its neat. Nice replacement for stock SMS. Would be nice to see separate threads after group message send. Also, ditch the ads. They're annoying and never actually pertain to anything I like or have searched for.",4.00,Samsung Galaxy Note 5,3.7,0
Keyonndra Clemons,2015-10-19T04:40:40,14831371782LZakLQT3OCvdrau1j5lRpHA,ZZ,I like it & hopefully the next update for the ios emojis will be 9.2,,en,,,,,14831371782,I like it & hopefully the next update for the ios emojis will be 9.2,5.00,,3.7,0
David Elston,2015-10-19T04:36:30,14831371782LrPsTPpZpM5bcRYbHc6lz-Q,ZZ,Used to love it. The adverte appearing as texts are now hugely annoying. Uninstalling.,,en,,,,,14831371782,Used to love it. The adverte appearing as texts are now hugely annoying. Uninstalling.,1.00,,3.7,0
Ashley Benitez,2015-10-19T04:22:08,14831371782L8-Tntk7aVNoOX8p7DMcGeQ,ZZ,I have been using it for a long time its great,Love it,en,,,,,14831371782,I have been using it for a long time its great,5.00,Love it,3.7,0
Ayanna Butler,2015-10-19T04:09:59,14831371782LsIWhfcoSZeal8U-voTbsOg,ZZ,Text is GREAT!,,is,an,,,,14831371782,Text is GREAT!,5.00,,3.7,0
Allyssa xo,2015-10-19T04:08:42,14831371782LMeMqaqbVZwtI60LFsu0M8A,ZZ,Textra is super quick and is the best texting app out there. Love how you can customize everything ????????,The best!,en,,,,,14831371782,Textra is super quick and is the best texting app out there. Love how you can customize everything ????????,5.00,The best!,3.7,0
prominer83,2015-10-19T04:02:16,14831371782L37PjVJNtXU24djeuKm8DZg,ZZ,"Switched to this from the Android stock messaging app, switching over went without a hitch. Give it a shot,  you won't regret it - you've got nothing to lose and the world to gain. Edit: recently got asked to pay for the app - it's definitely worth a euro to me!",Just better.,en,,,,,14831371782,"Switched to this from the Android stock messaging app, switching over went without a hitch. Give it a shot,  you won't regret it - you've got nothing to lose and the world to gain. Edit: recently got asked to pay for the app - it's definitely worth a euro to me!",5.00,Just better.,3.7,0
Steven Shater,2015-10-19T03:36:56,14831371782LOFkeTCklAMKQTb070UxRMQ,ZZ,Much better than the default messaging app.,Awesome app,en,da,nn,no,sv,14831371782,Much better than the default messaging app.,5.00,Awesome app,3.7,0
Aiden Shef,2015-10-19T03:09:17,14831371782LJBDk7crTrJfVOhuxBffF1A,ZZ,"Much of the interface is far too spread out, I wish I could get a view with less spacious margins. Does not play nice with T-Mobile/WiFi (but I assume that's not totally the fault of Textra). I wish timestamps were always there. Lots of the customizable things are crude... I can't type a vibrate pattern, I can't specify an RGB color for messages.",Good but not great yet,en,,,,,14831371782,"Much of the interface is far too spread out, I wish I could get a view with less spacious margins. Does not play nice with T-Mobile/WiFi (but I assume that's not totally the fault of Textra). I wish timestamps were always there. Lots of the customizable things are crude... I can't type a vibrate pattern, I can't specify an RGB color for messages.",3.00,Good but not great yet,2.0,0
sameh safwat,2015-10-19T03:05:34,14831371782LjaRrRo3Ij6D9QNxkW3l4nA,ZZ,Loved it,,en,da,no,nn,sl,14831371782,Loved it,5.00,,,0
Joshua Bradberry,2015-10-19T02:49:33,14831371782LjqDx9ryb8-8dPWybd4w5vQ,ZZ,"This trumps my old messaging app! By far the most fluid and convenient way to text, extremely customizable and opens overtop of apps which is handy so you're not always jumping back and forth between open apps. Textra is simple and effective!",Great app!,en,,,,,14831371782,"This trumps my old messaging app! By far the most fluid and convenient way to text, extremely customizable and opens overtop of apps which is handy so you're not always jumping back and forth between open apps. Textra is simple and effective!",5.00,Great app!,3.7,0
Craig Heimericks,2015-10-19T02:35:34,14831371782LjcPPc4BZBQbLNE9n4SVfVg,ZZ,Love it! Needs android wear photo mms support for photos.,Great!,en,,,,,14831371782,Love it! Needs android wear photo mms support for photos.,5.00,Great!,3.7,0
Ciara Porter,2015-10-19T02:33:27,14831371782LJ24ZyN0yUjEXVlzeeBok8Q,ZZ,Ça peut aller,,fr,br,no,de,fi,14831371782,Ça peut aller,4.00,,2.34,0
